zpid,price,latitude,longitude,beds,baths,area
29813733,320000.0,40.844556,-73.851002,3.0,2.0,2100.0
29813778,500000.0,40.843028,-73.851581,4.0,3.0,1404.0
29813806,335260.0,40.843863,-73.850431,4.0,2.0,1356.0
29813866,355000.0,40.843879,-73.84896,3.0,2.0,1732.0
29813867,510000.0,40.843895,-73.848871,3.0,3.0,1300.0
29813892,300000.0,40.84383,-73.847542,5.0,3.0,3034.0
29813902,450000.0,40.844437,-73.847177,7.0,2.0,1816.0
29813957,559000.0,40.846271,-73.849112,3.0,3.0,1660.0
29814009,599000.0,40.847617,-73.846662,3.0,2.0,1248.0
29814024,570000.0,40.84518,-73.857611,4.0,3.0,1272.0
29814045,436020.0,40.844688,-73.857236,3.0,2.0,1260.0
29814101,475000.0,40.844213,-73.856192,3.0,2.0,1865.0
29814123,565000.0,40.845087,-73.855359,3.0,2.0,2487.0
29814136,810000.0,40.844919,-73.855649,4.0,3.0,1951.0
29814150,455000.0,40.845759,-73.856309,4.0,2.0,1815.0
29814233,560000.0,40.84633,-73.855711,3.0,2.0,1667.0
29814259,485000.0,40.844864,-73.854518,3.0,3.0,1712.0
29814322,440900.0,40.846024,-73.854328,3.0,2.0,1906.0
29814382,445000.0,40.846219,-73.853392,2.0,2.0,1220.0
29814426,489850.0,40.847169,-73.853038,3.0,2.0,1404.0
29814438,575000.0,40.847242,-73.855948,3.0,2.0,1800.0
29814466,625000.0,40.847961,-73.855413,3.0,3.0,2874.0
29814482,686000.0,40.84729,-73.855317,3.0,2.0,2592.0
29814592,500000.0,40.847782,-73.852479,4.0,2.0,2121.0
29814610,485000.0,40.847604,-73.850766,3.0,2.0,1500.0
29814662,600000.0,40.847542,-73.850087,3.0,3.0,2210.0
29814723,430000.0,40.84897,-73.851175,2.0,2.0,1557.0
29814729,605000.0,40.848992,-73.849509,4.0,2.0,2158.0
29814789,545000.0,40.848513,-73.848453,3.0,2.0,1840.0
29814796,590000.0,40.849018,-73.848848,4.0,3.0,1600.0
29814867,615000.0,40.850176,-73.84938,3.0,2.0,1493.0
29814944,545000.0,40.848883,-73.859806,3.0,3.0,1566.0
29814989,565000.0,40.848234,-73.857817,3.0,2.0,1404.0
29815028,515000.0,40.848557,-73.856974,3.0,2.0,1428.0
29815057,510000.0,40.849825,-73.856902,3.0,2.0,2340.0
29815080,485000.0,40.848824,-73.856517,3.0,2.0,2034.0
29815083,625000.0,40.849015,-73.856666,3.0,3.0,2300.0
29815105,438000.0,40.850304,-73.856154,3.0,2.0,1408.0
29815108,475000.0,40.850037,-73.855945,5.0,2.0,1428.0
29815149,715000.0,40.850466,-73.855187,3.0,3.0,1517.0
29815189,620000.0,40.85038,-73.855544,3.0,3.0,1428.0
29815194,390000.0,40.850755,-73.855659,2.0,2.0,1408.0
29815258,500000.0,40.850891,-73.853341,3.0,2.0,1700.0
29815272,465000.0,40.85007,-73.8527,3.0,3.0,1782.0
29815275,485000.0,40.849837,-73.852976,3.0,2.0,1782.0
29815299,465000.0,40.850008,-73.85311,3.0,3.0,1782.0
29815380,560000.0,40.84377,-73.835508,3.0,2.0,1890.0
29815642,385000.0,40.846299,-73.832283,3.0,2.0,1000.0
29815683,500000.0,40.84539,-73.828319,3.0,2.0,1200.0
29815684,592500.0,40.845331,-73.828281,3.0,2.0,1300.0
29815689,581950.0,40.845024,-73.828081,3.0,2.0,1336.0
29815736,447500.0,40.846212,-73.827163,3.0,2.0,1828.0
29815843,500000.0,40.84771,-73.82773,3.0,1.5,1564.0
29815886,490000.0,40.848876,-73.835598,3.0,2.0,1160.0
29815956,600000.0,40.849031,-73.834338,3.0,1.5,1200.0
29815969,645000.0,40.848007,-73.834447,4.0,3.0,1513.0
29816124,585000.0,40.849195,-73.82878,4.0,3.0,1703.0
29816129,500000.0,40.848882,-73.82853,3.0,2.0,1368.0
29816151,550000.0,40.850006,-73.828925,3.0,2.0,1812.0
29816210,715000.0,40.851497,-73.850787,3.0,3.0,2020.0
29816293,682000.0,40.852535,-73.849066,3.0,2.0,2030.0
29816318,502500.0,40.852463,-73.848416,2.0,2.0,1757.0
29816387,365000.0,40.854144,-73.847712,3.0,2.0,1260.0
29816527,520000.0,40.852657,-73.83398,3.0,1.5,1248.0
29816566,549000.0,40.850492,-73.834529,3.0,2.0,1836.0
29816591,512000.0,40.851022,-73.834124,3.0,3.0,1282.0
29816670,425000.0,40.850971,-73.832318,2.0,2.0,950.0
29816679,445000.0,40.850152,-73.832402,3.0,2.0,1134.0
29816785,565000.0,40.85071,-73.82833,3.0,2.0,1484.0
29816836,530000.0,40.852296,-73.833262,3.0,2.0,1258.0
